,district,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
680,Ripon Unified,16.34,10147,85233,0.027999999999999997,0.003,0.051,0.02,0.344,0.003,0.457,0.091,0.004
681,River Delta Joint Unified,24.19,13088,64701,0.025,0.003,0.006,0.008,0.53,0.004,0.342,0.055,0.027000000000000003
682,Riverbank Unified,23.02,14467,58671,0.011000000000000001,0.004,0.008,0.002,0.823,0.001,0.135,0.004,0.01
683,Riverdale Joint Unified,37.01,14576,47768,0.006,0.003,0.005,0.0,0.872,0.0,0.114,0.001,0.0
684,Riverside Unified,11.41,13303,73093,0.062,0.003,0.035,0.012,0.659,0.003,0.191,0.021,0.013000000000000001
685,Roberts Ferry Union Elementary,42.03,13068,51591,0.0,0.0,0.0,0.0,0.409,0.0,0.444,0.028999999999999998,0.11699999999999999
686,Robla Elementary,18.7,15105,58676,0.13699999999999998,0.009000000000000001,0.17300000000000001,0.015,0.485,0.021,0.124,0.031,0.004
687,Rockford Elementary,69.32,11640,38529,0.003,0.0,0.0,0.034,0.5379999999999999,0.0,0.4,0.022000000000000002,0.003
688,Rocklin Unified,11.71,11360,99933,0.015,0.003,0.102,0.035,0.16699999999999998,0.003,0.5770000000000001,0.083,0.015
689,Romoland Elementary,25.86,11805,69886,0.053,0.003,0.015,0.016,0.708,0.003,0.17600000000000002,0.024,0.002
690,Rosedale Union Elementary,8.29,10852,99938,0.027999999999999997,0.006,0.033,0.02,0.375,0.002,0.515,0.02,0.0
691,Roseland,45.44,24306,60140,0.006,0.005,0.01,0.002,0.941,0.0,0.024,0.01,0.002
692,Rosemead Elementary,14.46,14367,65509,0.003,0.0,0.5479999999999999,0.013999999999999999,0.363,0.0,0.016,0.004,0.052000000000000005
693,Roseville City Elementary,3.95,11431,87984,0.024,0.004,0.08199999999999999,0.059000000000000004,0.239,0.004,0.502,0.083,0.004
694,Roseville Joint Union High,9.79,12476,92924,0.035,0.006999999999999999,0.095,0.039,0.201,0.006,0.555,0.046,0.016
695,Ross Elementary,269.47,21906,238036,0.0,0.003,0.003,0.005,0.064,0.0,0.862,0.048,0.016
696,Ross Valley Elementary,55.2,13256,122651,0.011000000000000001,0.003,0.027999999999999997,0.004,0.11900000000000001,0.001,0.752,0.079,0.004
697,Round Valley Joint Elementary,1.56,12307,87679,0.0,0.098,0.016,0.0,0.18,0.033,0.508,0.08199999999999999,0.08199999999999999
