name,total_students,african_american,american_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two _or_more_races,not_reported
Amador County Office of Education,25,0.00%,8.00%,0.00%,0.00%,28.00%,0.00%,64.00%,0.00%,0.00%
Amador County Unified,"3,889",0.40%,2.10%,0.40%,0.50%,23.10%,0.20%,65.60%,6.90%,0.80%
Bangor Union Elementary,107,0.00%,1.90%,0.00%,0.00%,21.50%,0.00%,69.20%,6.50%,0.90%
Biggs Unified,563,3.90%,0.70%,1.80%,0.00%,38.00%,0.50%,54.40%,0.70%,0.00%
Butte County Office of Education,"1,265",1.30%,1.50%,1.60%,0.10%,20.20%,0.10%,67.40%,7.40%,0.50%
Chico Unified,"13,909",2.10%,1.20%,4.50%,0.50%,25.60%,0.40%,57.40%,6.20%,2.10%
Durham Unified,991,0.40%,0.60%,0.50%,0.00%,23.50%,0.00%,69.70%,5.10%,0.10%
Golden Feather Union Elementary,62,1.60%,0.00%,0.00%,0.00%,16.10%,0.00%,79.00%,3.20%,0.00%
Gridley Unified,"2,080",0.50%,0.20%,2.50%,0.00%,57.60%,0.10%,34.00%,1.00%,3.90%
Manzanita Elementary,276,0.40%,0.70%,5.10%,0.00%,41.70%,0.40%,46.40%,5.40%,0.00%
Oroville City Elementary,"2,533",3.30%,3.60%,8.80%,0.50%,16.50%,0.20%,51.60%,15.10%,0.40%
Oroville Union High,"2,334",4.10%,7.80%,12.70%,0.60%,21.90%,0.40%,48.30%,3.50%,0.90%
Palermo Union Elementary,"1,278",0.80%,4.10%,3.40%,0.20%,32.90%,0.20%,46.30%,9.50%,2.60%
Paradise Unified,"2,102",0.60%,1.70%,0.50%,0.40%,13.50%,0.00%,76.80%,6.50%,0.10%
Pioneer Union Elementary,52,0.00%,1.90%,0.00%,0.00%,19.20%,0.00%,63.50%,5.80%,9.60%
Thermalito Union Elementary,"1,507",2.10%,3.10%,29.70%,0.60%,13.00%,0.50%,42.70%,7.80%,0.70%
Bret Harte Union High,624,0.80%,1.80%,1.10%,0.20%,22.00%,0.00%,68.40%,5.80%,0.00%
Calaveras County Office of Education,493,1.20%,1.40%,0.20%,0.00%,16.40%,0.60%,73.20%,6.90%,0.00%
Calaveras Unified,"2,685",0.70%,1.60%,0.70%,0.40%,23.10%,0.00%,66.40%,6.50%,0.70%
Mark Twain Union Elementary,690,0.90%,1.90%,0.30%,0.30%,25.40%,0.30%,65.20%,5.70%,0.10%
Vallecito Union,544,0.20%,1.30%,0.60%,0.40%,17.50%,0.40%,73.50%,5.50%,0.70%
Colusa County Office of Education,20,0.00%,0.00%,0.00%,0.00%,85.00%,0.00%,15.00%,0.00%,0.00%
Colusa Unified,"1,529",1.00%,3.20%,1.20%,0.10%,72.50%,0.40%,20.70%,0.90%,0.00%
Maxwell Unified,325,1.50%,1.80%,0.00%,0.00%,56.00%,0.00%,39.40%,0.00%,1.20%
Pierce Joint Unified,"1,443",0.90%,0.10%,1.20%,0.20%,78.30%,0.10%,17.30%,1.30%,0.50%
Williams Unified,"1,338",0.10%,0.10%,1.10%,0.00%,96.20%,0.00%,2.20%,0.20%,0.00%
Acalanes Union High,"5,535",1.60%,0.20%,14.00%,2.20%,10.30%,0.10%,63.70%,7.00%,0.90%
Antioch Unified,"16,599",24.40%,0.60%,4.20%,4.50%,47.60%,1.50%,12.10%,5.10%,0.10%
Brentwood Union Elementary,"9,023",7.30%,0.20%,7.50%,5.90%,32.70%,0.60%,34.20%,7.60%,4.10%
Byron Union Elementary,"2,193",5.70%,1.40%,3.80%,0.60%,28.40%,1.00%,51.80%,6.90%,0.50%
Canyon Elementary,72,0.00%,0.00%,2.80%,0.00%,19.40%,0.00%,62.50%,13.90%,1.40%
Contra Costa County Office of Education,"5,978",10.20%,0.30%,4.90%,3.00%,50.80%,0.60%,21.60%,6.70%,1.90%
John Swett Unified,"1,312",14.60%,0.60%,10.00%,10.60%,37.00%,0.30%,15.20%,10.70%,0.80%
Knightsen Elementary,608,1.30%,0.30%,1.20%,1.50%,39.00%,0.50%,45.60%,6.10%,4.60%
Lafayette Elementary,"3,261",0.70%,0.00%,11.10%,1.10%,9.20%,0.10%,61.50%,12.50%,3.80%
Liberty Union High,"8,222",8.60%,0.60%,4.90%,5.60%,36.80%,0.70%,37.20%,4.80%,0.80%
Martinez Unified,"3,983",2.60%,0.20%,3.50%,3.00%,31.00%,0.40%,46.20%,11.00%,2.00%
Moraga Elementary,"1,769",1.10%,0.30%,15.30%,1.40%,8.80%,0.10%,55.20%,17.50%,0.30%
Mt. Diablo Unified,"29,908",3.10%,0.10%,7.80%,4.40%,43.00%,0.60%,28.30%,7.90%,4.90%
Oakley Union Elementary,"4,939",10.40%,0.60%,3.40%,4.80%,46.40%,0.70%,32.00%,1.10%,0.50%
Orinda Union Elementary,"2,478",1.30%,0.30%,20.30%,1.50%,5.70%,0.00%,60.90%,8.20%,1.90%
Pittsburg Unified,"11,015",15.80%,0.20%,3.20%,5.00%,64.90%,1.20%,4.90%,4.50%,0.40%
San Ramon Valley Unified,"30,726",1.70%,0.30%,40.30%,3.70%,8.90%,0.20%,36.40%,8.40%,0.00%
SBE - John Henry High,292,1.70%,0.00%,0.70%,0.30%,96.90%,0.00%,0.00%,0.00%,0.30%
SBE - Rocketship Futuro Academy,614,3.10%,0.00%,3.90%,1.10%,85.00%,0.70%,2.30%,2.10%,1.80%
Walnut Creek Elementary,"3,467",2.50%,0.30%,15.20%,2.20%,14.90%,0.20%,53.20%,10.20%,1.30%
West Contra Costa Unified,"31,027",13.40%,0.20%,10.00%,4.80%,56.20%,0.50%,10.10%,4.70%,0.20%
Del Norte County Office of Education,429,0.90%,13.50%,0.90%,0.00%,16.60%,0.00%,54.50%,13.50%,0.00%
Del Norte County Unified,"3,818",0.70%,14.40%,4.50%,0.50%,23.00%,0.10%,49.90%,7.00%,0.00%
Black Oak Mine Unified,"1,284",0.60%,2.30%,0.90%,0.40%,10.60%,0.50%,81.70%,3.00%,0.00%
Buckeye Union Elementary,"8,501",1.50%,0.40%,6.00%,1.30%,14.70%,0.20%,67.50%,6.90%,1.40%
Camino Union Elementary,425,0.50%,3.10%,0.00%,0.70%,29.20%,0.20%,61.40%,4.70%,0.20%
El Dorado County Office of Education,"1,717",2.10%,0.70%,4.30%,0.60%,14.30%,0.20%,68.80%,6.90%,2.20%
El Dorado Union High,"6,846",1.00%,0.90%,5.30%,1.40%,17.60%,0.30%,67.60%,5.60%,0.20%
Gold Oak Union Elementary,419,0.70%,0.70%,0.20%,0.20%,12.90%,0.20%,80.70%,4.10%,0.20%
Gold Trail Union Elementary,593,0.70%,1.20%,0.50%,0.00%,11.60%,0.80%,83.30%,1.20%,0.70%
Indian Diggings Elementary,14,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%
Lake Tahoe Unified,"3,725",0.40%,0.30%,1.30%,3.20%,44.50%,0.20%,46.20%,3.20%,0.80%
Latrobe,148,0.00%,2.00%,2.00%,0.70%,12.20%,0.00%,71.60%,9.50%,2.00%
Mother Lode Union Elementary,934,0.70%,2.60%,0.30%,0.20%,32.70%,0.10%,60.50%,2.90%,0.00%
Pioneer Union Elementary,281,0.40%,1.10%,1.10%,1.10%,13.20%,0.00%,69.00%,13.50%,0.70%
Placerville Union Elementary,"1,216",0.20%,0.80%,0.40%,0.10%,29.60%,0.00%,61.60%,7.00%,0.30%
