name,total_students,african_american,american_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two _or_more_races,not_reported
Santa Ynez Valley Union High,864,0.60%,0.60%,0.30%,0.30%,46.50%,0.00%,46.90%,4.70%,0.00%
SBE - Olive Grove Charter - Buellton,48,0.00%,0.00%,0.00%,0.00%,27.10%,0.00%,66.70%,6.30%,0.00%
SBE - Olive Grove Charter - Lompoc,133,0.80%,1.50%,0.00%,0.00%,63.20%,0.00%,27.80%,6.80%,0.00%
SBE - Olive Grove Charter - Orcutt/Santa Maria,240,1.30%,0.40%,1.30%,2.10%,59.60%,0.00%,30.80%,3.30%,1.30%
SBE - Olive Grove Charter - Santa Barbara,159,1.30%,0.00%,0.60%,0.00%,42.80%,0.00%,47.80%,5.70%,1.90%
Solvang Elementary,607,1.20%,0.70%,0.30%,0.50%,53.50%,0.00%,39.40%,2.50%,2.00%
Vista del Mar Union,25,0.00%,0.00%,0.00%,0.00%,28.00%,0.00%,60.00%,4.00%,8.00%
Alum Rock Union Elementary,"9,850",1.00%,0.30%,12.10%,4.70%,78.50%,0.40%,1.60%,1.40%,0.00%
Berryessa Union Elementary,"6,534",1.20%,0.10%,53.60%,11.80%,22.90%,0.60%,4.50%,5.30%,0.00%
Cambrian,"3,172",2.20%,0.30%,21.80%,2.10%,23.70%,0.30%,37.10%,11.70%,0.90%
Campbell Union,"6,622",3.30%,0.20%,16.40%,2.10%,47.10%,0.30%,22.30%,6.80%,1.40%
Campbell Union High,"8,606",2.70%,0.40%,18.70%,2.30%,33.80%,0.50%,35.90%,4.20%,1.50%
Cupertino Union,"15,663",0.50%,0.30%,72.40%,1.20%,5.30%,0.10%,13.30%,4.40%,2.50%
East Side Union High,"25,946",1.80%,0.20%,33.00%,6.10%,50.90%,0.60%,4.70%,2.40%,0.30%
Evergreen Elementary,"9,789",1.30%,0.40%,56.90%,7.00%,24.50%,0.40%,4.90%,4.30%,0.40%
Franklin-McKinley Elementary,"8,980",1.70%,0.10%,31.20%,3.30%,59.80%,0.30%,2.00%,1.20%,0.40%
Fremont Union High,"10,836",0.80%,0.20%,58.00%,2.60%,14.70%,0.30%,15.40%,6.10%,2.00%
Gilroy Unified,"11,360",1.40%,0.40%,4.20%,2.80%,70.80%,0.20%,14.80%,3.10%,2.30%
Lakeside Joint,66,0.00%,0.00%,16.70%,1.50%,9.10%,0.00%,57.60%,12.10%,3.00%
Loma Prieta Joint Union Elementary,441,0.50%,0.00%,2.90%,0.50%,12.20%,0.00%,70.70%,12.00%,1.10%
Los Altos Elementary,"3,576",0.60%,0.10%,34.80%,0.70%,8.40%,0.30%,41.10%,12.70%,1.20%
Los Gatos Union Elementary,"2,710",0.60%,0.40%,22.10%,0.90%,6.80%,0.10%,60.40%,7.90%,0.70%
Los Gatos-Saratoga Union High,"3,470",0.20%,0.10%,32.00%,0.40%,7.80%,0.20%,46.30%,9.10%,3.90%
Luther Burbank,475,2.50%,0.00%,1.30%,2.10%,90.10%,0.60%,2.90%,0.20%,0.20%
Milpitas Unified,"10,413",1.70%,0.30%,52.90%,14.90%,19.70%,0.40%,4.20%,5.60%,0.20%
Moreland,"4,364",3.00%,0.40%,33.30%,2.70%,29.80%,0.50%,21.90%,6.90%,1.50%
Morgan Hill Unified,"8,894",1.40%,0.50%,8.90%,2.60%,50.50%,0.30%,28.60%,4.90%,2.20%
Mount Pleasant Elementary,"1,929",1.70%,0.20%,13.90%,0.30%,75.70%,1.30%,2.60%,2.70%,1.60%
Mountain View Whisman,"4,753",1.30%,0.00%,20.50%,2.40%,35.60%,0.40%,26.70%,12.60%,0.40%
Mountain View-Los Altos Union High,"4,563",1.20%,0.10%,24.90%,1.90%,25.60%,0.40%,37.60%,8.10%,0.30%
Oak Grove Elementary,"9,362",2.90%,0.20%,22.20%,3.80%,47.60%,0.70%,15.30%,6.90%,0.30%
Orchard Elementary,815,4.90%,0.90%,40.60%,6.60%,33.00%,2.30%,6.70%,3.90%,1.00%
Palo Alto Unified,"10,754",1.70%,0.10%,37.50%,0.90%,13.90%,1.00%,33.90%,11.00%,0.00%
San Jose Unified,"28,710",2.50%,0.20%,13.70%,1.90%,52.90%,0.30%,22.40%,5.80%,0.30%
Santa Clara County Office of Education,"12,508",3.40%,0.20%,20.70%,2.00%,57.80%,0.30%,10.10%,4.40%,1.10%
Santa Clara Unified,"14,808",2.50%,0.50%,31.70%,6.00%,33.80%,0.50%,19.00%,5.30%,0.70%
Saratoga Union Elementary,"1,657",0.20%,0.00%,57.00%,0.70%,5.20%,0.00%,24.20%,6.20%,6.50%
SBE - KIPP Navigate College Prep,274,0.70%,0.00%,25.90%,2.20%,69.00%,0.40%,0.40%,1.50%,0.00%
SBE - Perseverance Preparatory,48,2.10%,0.00%,6.30%,0.00%,77.10%,0.00%,6.30%,4.20%,4.20%
Sunnyvale,"5,950",1.30%,1.70%,29.80%,5.40%,29.70%,0.80%,21.40%,8.60%,1.20%
Union Elementary,"5,727",1.10%,0.20%,34.30%,1.00%,15.40%,0.10%,38.60%,8.60%,0.50%
Bonny Doon Union Elementary,107,0.00%,0.00%,0.00%,0.00%,9.30%,0.00%,89.70%,0.90%,0.00%
Happy Valley Elementary,105,0.00%,1.00%,1.90%,1.00%,9.50%,0.00%,67.60%,17.10%,1.90%
Live Oak Elementary,"1,730",2.20%,1.10%,2.60%,1.30%,57.20%,0.20%,31.70%,1.70%,1.90%
Mountain Elementary,133,0.00%,0.00%,1.50%,1.50%,11.30%,0.00%,78.90%,6.80%,0.00%
Pacific Elementary,141,0.70%,0.00%,2.10%,0.00%,25.50%,0.00%,62.40%,7.10%,2.10%
Pajaro Valley Unified,"19,276",0.40%,0.20%,0.70%,0.60%,84.00%,0.10%,13.00%,0.90%,0.20%
San Lorenzo Valley Unified,"5,699",0.60%,0.20%,4.90%,1.00%,19.80%,0.30%,58.90%,8.70%,5.70%
Santa Cruz City Elementary,"1,684",1.30%,0.20%,3.70%,0.20%,41.30%,0.20%,48.10%,4.90%,0.00%
Santa Cruz City High,"4,644",1.90%,0.40%,2.90%,0.80%,38.50%,0.20%,51.20%,4.00%,0.00%
Santa Cruz County Office of Education,"1,605",0.30%,0.40%,2.70%,0.60%,39.40%,0.10%,45.20%,5.70%,5.60%
SBE - Watsonville Prep,220,0.00%,0.00%,0.00%,0.50%,97.70%,0.00%,0.90%,0.90%,0.00%
Scotts Valley Unified,"2,635",0.30%,0.30%,6.70%,1.00%,17.90%,0.10%,62.10%,11.20%,0.30%
Soquel Union Elementary,"1,745",0.80%,0.50%,1.70%,0.90%,34.00%,0.20%,56.60%,5.20%,0.10%
Anderson Union High,"1,619",0.80%,5.70%,3.40%,0.20%,19.50%,0.10%,65.40%,3.40%,1.50%
Bella Vista Elementary,337,0.00%,3.90%,1.80%,0.90%,11.90%,0.00%,76.00%,5.60%,0.00%
Black Butte Union Elementary,221,0.50%,3.60%,0.50%,0.00%,18.10%,0.50%,69.70%,5.40%,1.80%
Cascade Union Elementary,"1,294",1.50%,5.80%,3.40%,0.60%,27.40%,0.40%,54.60%,4.90%,1.40%
Castle Rock Union Elementary,55,0.00%,5.50%,1.80%,0.00%,21.80%,0.00%,65.50%,5.50%,0.00%
Columbia Elementary,"1,622",0.60%,1.80%,2.00%,0.30%,11.50%,0.20%,73.60%,8.80%,1.30%
Cottonwood Union Elementary,"1,192",0.90%,4.30%,0.60%,0.00%,14.80%,0.30%,71.10%,4.60%,3.40%
Enterprise Elementary,"3,680",1.50%,2.10%,7.40%,0.10%,18.30%,0.40%,56.00%,10.10%,4.20%
Fall River Joint Unified,"1,192",0.00%,7.70%,0.20%,0.10%,26.80%,0.30%,58.00%,5.50%,1.60%
French Gulch-Whiskeytown Elementary,30,0.00%,13.30%,0.00%,0.00%,6.70%,0.00%,70.00%,10.00%,0.00%
Gateway Unified,"2,344",1.70%,6.20%,3.20%,0.10%,16.00%,0.20%,65.40%,6.60%,0.60%
Grant Elementary,633,0.00%,1.10%,3.00%,0.00%,10.30%,0.20%,75.80%,9.50%,0.20%
Happy Valley Union Elementary,468,1.50%,5.60%,8.30%,0.00%,18.20%,0.90%,59.60%,0.60%,5.30%
"Igo, Ono, Platina Union Elementary",37,8.10%,8.10%,0.00%,0.00%,10.80%,0.00%,73.00%,0.00%,0.00%
Indian Springs Elementary,19,0.00%,0.00%,0.00%,0.00%,42.10%,0.00%,52.60%,5.30%,0.00%
Junction Elementary,336,1.20%,3.90%,1.80%,0.00%,13.10%,0.00%,77.40%,1.80%,0.90%
Millville Elementary,243,0.00%,1.20%,0.00%,0.40%,9.10%,0.00%,83.50%,4.50%,1.20%
Mountain Union Elementary,64,0.00%,25.00%,0.00%,0.00%,9.40%,0.00%,54.70%,10.90%,0.00%
North Cow Creek Elementary,244,0.00%,3.70%,2.50%,0.00%,6.60%,0.00%,77.00%,9.80%,0.40%
Oak Run Elementary,53,0.00%,0.00%,0.00%,0.00%,5.70%,0.00%,84.90%,9.40%,0.00%
Pacheco Union Elementary,634,0.00%,3.50%,1.40%,0.50%,12.80%,0.30%,75.60%,4.40%,1.60%
Redding Elementary,"3,036",2.40%,4.10%,2.60%,0.20%,17.80%,0.40%,65.10%,7.10%,0.40%
Shasta County Office of Education,843,0.10%,2.00%,0.70%,0.00%,14.00%,0.20%,66.70%,9.10%,7.10%
Shasta Union Elementary,114,1.80%,3.50%,0.00%,0.00%,13.20%,1.80%,75.40%,4.40%,0.00%
Shasta Union High,"5,471",1.30%,2.90%,4.80%,0.60%,14.40%,0.50%,68.20%,6.70%,0.70%
Whitmore Union Elementary,516,1.40%,1.60%,0.60%,0.20%,11.00%,0.00%,77.10%,4.10%,4.10%
Sierra-Plumas Joint Unified,395,0.80%,0.30%,1.00%,0.00%,17.00%,0.30%,74.40%,3.30%,3.00%
Big Springs Union Elementary,178,0.00%,2.80%,16.30%,0.00%,12.40%,0.00%,55.10%,11.20%,2.20%
Bogus Elementary,20,5.00%,10.00%,0.00%,0.00%,10.00%,0.00%,70.00%,5.00%,0.00%
Butte Valley Unified,276,0.40%,1.40%,4.00%,0.00%,54.30%,0.00%,35.50%,3.60%,0.70%
Butteville Union Elementary,165,1.20%,0.00%,0.00%,0.60%,13.90%,1.20%,71.50%,11.50%,0.00%
Delphic Elementary,59,0.00%,6.80%,0.00%,0.00%,8.50%,0.00%,59.30%,16.90%,8.50%
Dunsmuir Elementary,81,0.00%,3.70%,7.40%,0.00%,16.00%,0.00%,66.70%,6.20%,0.00%
Dunsmuir Joint Union High,54,0.00%,7.40%,1.90%,0.00%,18.50%,0.00%,59.30%,11.10%,1.90%
Forks of Salmon Elementary,8,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,75.00%,25.00%,0.00%
Gazelle Union Elementary,38,5.30%,7.90%,0.00%,0.00%,5.30%,0.00%,68.40%,7.90%,5.30%
Grenada Elementary,204,2.00%,4.90%,0.50%,0.00%,12.70%,0.00%,71.60%,7.80%,0.50%
Happy Camp Union Elementary,97,0.00%,47.40%,0.00%,0.00%,5.20%,1.00%,24.70%,21.60%,0.00%
Hornbrook Elementary,51,0.00%,5.90%,3.90%,0.00%,7.80%,0.00%,62.70%,19.60%,0.00%
Junction Elementary,18,0.00%,88.90%,0.00%,0.00%,0.00%,0.00%,5.60%,5.60%,0.00%
Klamath River Union Elementary,10,0.00%,10.00%,0.00%,0.00%,20.00%,0.00%,60.00%,10.00%,0.00%
Little Shasta Elementary,16,0.00%,0.00%,0.00%,0.00%,37.50%,0.00%,62.50%,0.00%,0.00%
McCloud Union Elementary,59,0.00%,0.00%,0.00%,0.00%,22.00%,0.00%,55.90%,22.00%,0.00%
Montague Elementary,182,0.00%,2.70%,2.20%,0.00%,12.10%,0.00%,8.20%,1.10%,73.60%
Mt. Shasta Union Elementary,480,2.90%,0.00%,1.30%,0.60%,13.10%,0.40%,78.30%,3.30%,0.00%
Scott Valley Unified,612,0.50%,9.30%,1.80%,0.00%,11.90%,0.50%,61.90%,11.30%,2.80%
Seiad Elementary,9,0.00%,0.00%,0.00%,11.10%,22.20%,0.00%,66.70%,0.00%,0.00%
Siskiyou County Office of Education,821,0.60%,3.30%,1.20%,0.10%,16.80%,0.10%,64.70%,12.90%,0.20%
Siskiyou Union High,537,2.00%,3.70%,1.90%,0.70%,17.70%,0.20%,58.30%,12.10%,3.40%
Weed Union Elementary,298,6.40%,4.40%,7.40%,0.00%,24.80%,0.30%,44.00%,12.80%,0.00%
Willow Creek Elementary,34,0.00%,8.80%,0.00%,0.00%,14.70%,0.00%,61.80%,11.80%,2.90%
Yreka Union Elementary,901,0.60%,10.80%,2.70%,0.40%,17.60%,0.30%,57.20%,10.10%,0.30%
Yreka Union High,697,0.40%,5.00%,3.00%,0.00%,17.40%,0.30%,62.70%,9.60%,1.60%
Benicia Unified,"4,526",6.40%,0.40%,4.80%,7.10%,20.30%,0.20%,44.60%,14.30%,2.10%
Dixon Unified,"3,407",2.10%,0.30%,0.90%,1.50%,58.10%,0.50%,28.40%,4.60%,3.60%
Fairfield-Suisun Unified,"20,703",13.50%,0.30%,5.80%,9.00%,45.20%,1.10%,15.60%,9.20%,0.20%
Solano County Office of Education,832,33.50%,0.70%,2.90%,4.80%,35.10%,1.30%,11.80%,4.60%,5.30%
Travis Unified,"5,284",10.90%,0.30%,4.20%,10.10%,27.10%,1.10%,31.50%,13.50%,1.40%
Vacaville Unified,"13,025",5.80%,0.40%,2.80%,3.50%,39.00%,0.60%,38.50%,9.00%,0.50%
Vallejo City Unified,"13,252",25.70%,0.30%,2.90%,13.80%,45.40%,1.90%,6.50%,2.80%,0.50%
Alexander Valley Union Elementary,115,1.70%,0.00%,0.00%,0.00%,33.90%,0.00%,64.30%,0.00%,0.00%
Bellevue Union,"1,544",1.20%,1.00%,2.00%,0.10%,86.50%,0.60%,7.30%,1.00%,0.40%
Bennett Valley Union Elementary,989,1.80%,0.40%,4.60%,1.10%,23.60%,1.10%,58.90%,8.50%,0.00%
Cinnabar Elementary,251,2.40%,0.00%,0.00%,0.00%,70.50%,0.80%,23.90%,2.40%,0.00%
Cloverdale Unified,"1,350",0.20%,2.90%,0.90%,0.00%,60.50%,0.00%,32.10%,2.50%,0.90%
Cotati-Rohnert Park Unified,"6,111",1.80%,0.70%,2.90%,1.00%,41.60%,0.40%,40.50%,6.80%,4.30%
Dunham Elementary,156,0.00%,0.00%,0.60%,0.00%,18.60%,0.00%,73.10%,6.40%,1.30%
Forestville Union Elementary,267,0.40%,0.00%,0.00%,0.00%,33.30%,0.00%,61.40%,4.90%,0.00%
Fort Ross Elementary,11,0.00%,0.00%,0.00%,0.00%,27.30%,0.00%,45.50%,27.30%,0.00%
Geyserville Unified,209,0.50%,0.00%,0.50%,0.00%,63.60%,0.00%,31.60%,3.80%,0.00%
Gravenstein Union Elementary,757,0.70%,0.40%,3.70%,0.10%,22.10%,0.70%,59.60%,11.50%,1.30%
Guerneville Elementary,460,4.80%,2.40%,1.10%,0.20%,26.30%,0.00%,56.10%,6.10%,3.00%
Harmony Union Elementary,617,1.50%,0.30%,1.10%,1.50%,27.20%,0.00%,56.40%,11.20%,0.80%
Healdsburg Unified,"1,317",0.40%,0.90%,0.90%,0.20%,63.20%,0.20%,33.50%,0.80%,0.00%
Horicon Elementary,59,0.00%,0.00%,0.00%,0.00%,59.30%,0.00%,35.60%,5.10%,0.00%
Kashia Elementary,16,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Kenwood,131,0.00%,0.00%,0.80%,0.00%,14.50%,0.00%,69.50%,9.90%,5.30%
Liberty Elementary,"1,486",9.80%,0.90%,3.40%,4.10%,22.60%,1.10%,51.00%,6.80%,0.20%
Mark West Union Elementary,"1,298",0.60%,1.00%,2.90%,1.10%,30.30%,0.90%,57.50%,5.60%,0.10%
Monte Rio Union Elementary,62,0.00%,0.00%,0.00%,0.00%,17.70%,0.00%,58.10%,22.60%,1.60%
Montgomery Elementary,22,0.00%,0.00%,0.00%,0.00%,9.10%,0.00%,90.90%,0.00%,0.00%
Oak Grove Union Elementary,"1,293",1.30%,0.80%,1.90%,0.40%,32.60%,0.20%,55.50%,6.70%,0.60%
Old Adobe Union,"2,058",1.30%,0.20%,2.20%,0.60%,40.80%,0.00%,50.30%,4.30%,0.10%
Petaluma City Elementary,"2,424",0.90%,0.90%,1.80%,0.60%,28.50%,0.30%,59.60%,7.10%,0.20%
Petaluma Joint Union High,"5,233",1.40%,0.60%,3.00%,0.70%,34.80%,0.30%,54.40%,4.80%,0.10%
Piner-Olivet Union Elementary,"1,240",2.60%,1.00%,7.10%,2.40%,45.20%,0.50%,34.90%,5.70%,0.50%
Rincon Valley Union Elementary,"3,096",2.80%,1.60%,5.70%,1.20%,29.50%,1.30%,52.70%,4.00%,1.30%
Roseland,"2,873",0.60%,0.50%,1.00%,0.20%,94.10%,0.00%,2.40%,1.00%,0.20%
Santa Rosa Elementary,"4,651",1.70%,0.60%,3.50%,0.70%,63.20%,0.30%,25.80%,4.10%,0.00%
Santa Rosa High,"10,821",1.90%,0.80%,5.30%,1.10%,52.90%,0.70%,32.50%,4.80%,0.00%
Sebastopol Union Elementary,817,1.10%,0.90%,0.90%,0.70%,24.00%,0.00%,63.40%,8.10%,1.00%
Sonoma County Office of Education,411,4.40%,0.70%,2.20%,0.70%,48.90%,0.70%,39.20%,3.20%,0.00%
Sonoma Valley Unified,"3,950",0.50%,0.40%,1.40%,0.50%,60.30%,0.20%,33.70%,1.60%,1.50%
Twin Hills Union Elementary,"1,101",0.30%,0.50%,1.30%,0.50%,18.30%,0.10%,70.80%,8.30%,0.00%
Two Rock Union,123,1.60%,0.00%,0.80%,0.00%,52.00%,0.00%,39.00%,5.70%,0.80%
Waugh Elementary,808,0.90%,0.00%,5.10%,1.20%,20.80%,0.60%,61.50%,8.90%,1.00%
West Side Union Elementary,157,0.00%,0.60%,0.00%,0.00%,35.00%,0.00%,59.20%,5.10%,0.00%
West Sonoma County Union High,"1,851",1.70%,1.40%,2.70%,0.50%,25.30%,0.10%,64.20%,4.20%,0.00%
Wilmar Union Elementary,217,1.40%,0.90%,0.90%,0.50%,15.70%,0.50%,78.30%,0.90%,0.90%
Windsor Unified,"4,790",0.60%,0.70%,1.60%,0.40%,55.10%,0.30%,37.70%,3.50%,0.10%
Wright Elementary,"1,308",2.80%,0.80%,7.20%,1.00%,65.40%,0.80%,17.30%,4.90%,0.00%
Ceres Unified,"14,667",1.60%,0.40%,4.90%,0.50%,78.80%,0.60%,12.20%,0.80%,0.20%
Chatom Union,573,0.20%,0.30%,0.30%,0.00%,62.70%,0.00%,34.40%,1.90%,0.20%
Denair Unified,"1,318",0.80%,12.00%,0.70%,0.30%,22.50%,0.10%,58.60%,2.40%,2.70%
Empire Union Elementary,"2,866",3.80%,0.20%,3.70%,0.70%,65.80%,0.90%,20.60%,3.40%,0.90%
Gratton Elementary,143,1.40%,1.40%,0.70%,1.40%,16.10%,0.00%,79.00%,0.00%,0.00%
Hart-Ransom Union Elementary,"1,208",1.30%,0.20%,3.90%,2.60%,46.50%,0.20%,41.10%,2.60%,1.70%
Hickman Community Charter,"1,059",2.00%,0.80%,2.50%,0.30%,28.70%,0.50%,60.20%,3.20%,1.80%
Hughson Unified,"2,058",0.40%,0.50%,1.20%,0.00%,55.20%,0.30%,41.80%,0.30%,0.30%
Keyes Union,"1,103",0.50%,0.80%,4.80%,0.10%,66.00%,0.10%,26.30%,0.80%,0.60%
Knights Ferry Elementary,144,0.70%,0.00%,0.00%,0.00%,13.20%,0.00%,63.90%,1.40%,20.80%
Modesto City Elementary,"15,275",2.30%,0.30%,4.00%,0.40%,69.00%,0.60%,15.60%,4.30%,3.50%
Modesto City High,"15,957",2.70%,0.30%,5.10%,1.50%,60.50%,0.70%,21.90%,4.70%,2.60%
Newman-Crows Landing Unified,"3,213",1.60%,0.20%,0.60%,0.80%,78.80%,0.20%,15.20%,2.60%,0.00%
Oakdale Joint Unified,"5,282",0.50%,0.60%,1.00%,0.50%,38.90%,0.20%,54.80%,3.30%,0.10%
Paradise Elementary,191,0.50%,0.00%,0.00%,1.60%,63.90%,0.00%,11.00%,0.00%,23.00%
Patterson Joint Unified,"6,012",4.80%,0.50%,2.40%,1.60%,76.00%,1.80%,9.90%,1.40%,1.60%
Riverbank Unified,"2,940",1.10%,0.40%,0.80%,0.20%,82.30%,0.10%,13.50%,0.40%,1.00%
Roberts Ferry Union Elementary,171,0.00%,0.00%,0.00%,0.00%,40.90%,0.00%,44.40%,2.90%,11.70%
Salida Union Elementary,"3,059",2.90%,0.10%,3.50%,1.30%,61.90%,0.90%,23.50%,3.60%,2.30%
Shiloh Elementary,182,0.00%,0.00%,0.50%,0.00%,59.90%,0.00%,30.80%,0.00%,8.80%
Stanislaus County Office of Education,"2,486",4.70%,0.90%,2.60%,0.70%,53.90%,0.60%,32.00%,3.10%,1.40%
Stanislaus Union Elementary,"3,431",4.60%,0.80%,13.30%,0.50%,51.80%,1.60%,20.40%,2.30%,4.80%
Sylvan Union Elementary,"7,913",3.30%,0.40%,6.80%,2.70%,45.70%,1.20%,32.20%,5.30%,2.40%
Turlock Unified,"13,925",2.00%,0.60%,5.60%,0.10%,59.20%,0.50%,29.40%,1.30%,1.30%
Valley Home Joint Elementary,145,0.70%,0.70%,0.70%,0.00%,35.90%,0.00%,55.90%,2.80%,3.40%
Waterford Unified,"2,878",1.70%,0.50%,3.20%,0.30%,54.60%,0.10%,35.40%,3.40%,0.70%
Brittan Elementary,427,0.00%,0.20%,0.20%,0.00%,23.40%,0.00%,69.60%,6.60%,0.00%
Browns Elementary,128,0.80%,0.00%,6.30%,0.00%,32.00%,1.60%,46.10%,13.30%,0.00%
East Nicolaus Joint Union High,309,1.30%,1.00%,3.60%,0.30%,18.80%,1.00%,65.70%,4.50%,3.90%
Franklin Elementary,464,0.40%,1.30%,10.80%,0.00%,23.10%,0.20%,55.00%,8.40%,0.90%
Live Oak Unified,"1,902",0.80%,0.90%,10.90%,0.20%,58.90%,0.40%,26.80%,1.10%,0.00%
Marcum-Illinois Union Elementary,"2,809",2.10%,0.50%,2.00%,0.70%,16.70%,0.40%,61.60%,7.80%,8.30%
Meridian Elementary,"1,483",15.80%,1.80%,5.30%,2.10%,24.70%,1.50%,43.40%,5.30%,0.00%
Nuestro Elementary,762,2.60%,1.20%,5.90%,1.00%,19.30%,0.70%,63.90%,5.40%,0.00%
Pleasant Grove Joint Union,159,1.30%,0.00%,1.90%,0.00%,18.90%,2.50%,75.50%,0.00%,0.00%
Sutter County Office of Education,487,1.60%,0.80%,8.60%,0.20%,40.90%,0.20%,38.00%,4.70%,4.90%
Sutter Union High,808,0.20%,1.60%,2.80%,0.10%,27.50%,0.10%,61.90%,5.70%,0.00%
Winship-Robbins,"1,243",2.50%,0.30%,2.20%,0.60%,23.10%,0.20%,62.60%,7.00%,1.50%
Yuba City Unified,"12,714",1.70%,0.60%,19.80%,0.50%,46.40%,0.30%,24.90%,4.90%,0.80%
Antelope Elementary,817,0.90%,2.30%,0.60%,0.20%,23.10%,0.40%,69.00%,3.10%,0.40%
Corning Union Elementary,"1,986",0.80%,1.50%,1.40%,0.20%,70.60%,0.10%,25.00%,0.50%,0.00%
Corning Union High,"1,093",0.50%,1.60%,1.60%,0.40%,62.20%,0.10%,30.30%,1.30%,2.00%
Evergreen Union,"1,175",0.30%,2.10%,1.10%,0.20%,16.60%,0.10%,74.20%,5.40%,0.00%
Flournoy Union Elementary,42,0.00%,0.00%,0.00%,0.00%,16.70%,0.00%,78.60%,4.80%,0.00%
Gerber Union Elementary,382,0.80%,2.60%,0.50%,0.00%,69.60%,0.00%,23.80%,2.40%,0.30%
Kirkwood Elementary,100,0.00%,0.00%,0.00%,0.00%,26.00%,1.00%,71.00%,2.00%,0.00%
Lassen View Union Elementary,355,0.30%,0.80%,0.00%,0.00%,20.60%,0.00%,77.20%,1.10%,0.00%
Los Molinos Unified,556,0.40%,1.80%,1.10%,0.00%,52.00%,0.00%,40.10%,4.00%,0.70%
Red Bluff Joint Union High,"1,798",0.90%,2.80%,0.80%,0.10%,34.10%,0.20%,57.10%,4.00%,0.10%
Red Bluff Union Elementary,"1,849",1.40%,2.70%,1.30%,0.20%,40.40%,0.40%,49.70%,3.80%,0.10%
Reeds Creek Elementary,201,0.50%,2.50%,1.00%,0.00%,12.90%,1.50%,77.60%,4.00%,0.00%
Richfield Elementary,234,0.00%,0.40%,0.90%,0.40%,44.00%,0.00%,52.10%,2.10%,0.00%
Tehama County Department of Education,238,1.30%,4.60%,0.40%,0.00%,19.30%,0.40%,59.70%,5.50%,8.80%
Burnt Ranch Elementary,67,1.50%,19.40%,1.50%,0.00%,20.90%,0.00%,49.30%,7.50%,0.00%
Coffee Creek Elementary,8,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,87.50%,12.50%,0.00%
Douglas City Elementary,171,0.00%,1.80%,7.00%,0.00%,14.00%,0.00%,69.60%,7.60%,0.00%
Junction City Elementary,71,0.00%,2.80%,0.00%,0.00%,9.90%,0.00%,70.40%,14.10%,2.80%
Lewiston Elementary,72,1.40%,4.20%,5.60%,0.00%,5.60%,0.00%,75.00%,4.20%,4.20%
Mountain Valley Unified,308,0.00%,2.30%,23.70%,0.00%,9.40%,0.00%,55.20%,9.40%,0.00%
Southern Trinity Joint Unified,86,0.00%,5.80%,0.00%,0.00%,18.60%,0.00%,66.30%,9.30%,0.00%
Trinity Alps Unified,695,0.00%,5.60%,0.70%,0.00%,8.50%,0.30%,73.50%,8.60%,2.70%
Trinity Center Elementary,18,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%
Trinity County Office of Education,89,1.10%,10.10%,1.10%,0.00%,16.90%,0.00%,61.80%,9.00%,0.00%
Allensworth Elementary,67,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
Alpaugh Unified,955,2.90%,0.10%,1.20%,0.30%,58.70%,0.10%,28.80%,7.90%,0.00%
Alta Vista Elementary,"1,444",1.10%,0.80%,1.10%,0.10%,48.80%,0.60%,41.10%,4.20%,2.20%
Buena Vista Elementary,203,2.00%,0.00%,0.00%,0.00%,70.40%,0.00%,26.10%,1.00%,0.50%
Burton Elementary,"4,840",0.40%,1.20%,1.90%,2.10%,74.90%,0.20%,15.20%,1.40%,2.60%
Columbine Elementary,186,0.00%,0.00%,4.30%,2.70%,88.20%,0.00%,3.20%,1.60%,0.00%
Cutler-Orosi Joint Unified,"4,007",0.00%,0.10%,0.10%,2.70%,95.90%,0.00%,1.00%,0.00%,0.00%
Dinuba Unified,"6,640",0.40%,0.40%,1.10%,0.70%,93.70%,0.10%,3.70%,0.00%,0.00%
Ducor Union Elementary,142,0.00%,0.70%,0.00%,0.00%,93.70%,0.00%,5.60%,0.00%,0.00%
Earlimart Elementary,"1,581",0.20%,0.00%,0.30%,1.50%,97.00%,0.00%,0.40%,0.00%,0.60%
Exeter Unified,"2,637",0.60%,0.60%,0.30%,0.20%,65.00%,0.10%,32.70%,0.40%,0.20%
Farmersville Unified,"2,484",0.20%,0.20%,0.50%,0.00%,95.80%,0.00%,0.80%,0.00%,2.40%
Hope Elementary,239,0.00%,0.40%,0.80%,0.00%,65.30%,0.00%,31.40%,0.80%,1.30%
Hot Springs Elementary,20,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,65.00%,5.00%,5.00%
Kings River Union Elementary,397,0.00%,0.00%,0.00%,0.00%,94.20%,0.00%,5.50%,0.30%,0.00%
Liberty Elementary,677,1.80%,0.40%,0.70%,0.00%,59.80%,0.00%,34.70%,2.20%,0.30%
Lindsay Unified,"4,067",0.20%,0.20%,0.90%,0.00%,94.80%,0.10%,3.00%,0.10%,0.60%
