,district,students_in_grade_12_20,act_test_takers_20,act_eng_20,act_read_20,act_math_20,act_sci_20,act_comp_over_21_20,act_20_participation,score,education_spend_per_student,avg_household_income,african_american,am_indian_or_alaska_native,asian,filipino,hispanic_or_latino,pacific_islander,white,two_or_more_races,not_reported
197,Yosemite Unified,203,28,25.0,27.0,23.0,24.0,0.86,0.13793103448275862,20.74,12509.0,70156.0,0.005,0.033,0.02,0.003,0.21100000000000002,0.001,0.6579999999999999,0.065,0.004
199,Novato Unified,708,188,24.0,25.0,24.0,24.0,0.7,0.2655367231638418,32.56,13101.0,106657.0,0.023,0.008,0.052000000000000005,0.01,0.402,0.003,0.431,0.07,0.001
200,San Rafael City High,733,104,24.0,25.0,24.0,23.0,0.85,0.14188267394270124,31.7,14820.0,97421.0,0.013000000000000001,0.003,0.042,0.005,0.5770000000000001,0.002,0.33,0.026000000000000002,0.002
201,Tamalpais Union High,1232,419,28.0,28.0,26.0,27.0,0.91,0.3400974025974026,114.04,19565.0,134656.0,0.019,0.003,0.047,0.006,0.142,0.004,0.6990000000000001,0.043,0.037000000000000005
203,Mariposa County Unified,135,18,23.0,24.0,25.0,23.0,0.72,0.13333333333333333,41.92,13686.0,48586.0,0.005,0.039,0.009000000000000001,0.006,0.22,0.0,0.638,0.068,0.016
205,Fort Bragg Unified,138,34,19.0,21.0,20.0,20.0,0.41,0.2463768115942029,36.4,14147.0,50363.0,0.004,0.008,0.008,0.0,0.447,0.0,0.44299999999999995,0.057,0.031
209,Ukiah Unified,494,24,25.0,26.0,25.0,23.0,0.83,0.048582995951417005,35.05,13764.0,53277.0,0.006,0.051,0.009000000000000001,0.006,0.5329999999999999,0.0,0.35,0.04,0.004
214,Hilmar Unified,187,27,17.0,18.0,19.0,19.0,0.3,0.1443850267379679,33.48,12340.0,61569.0,0.003,0.006999999999999999,0.006999999999999999,0.001,0.444,0.001,0.526,0.008,0.002
216,Los Banos Unified,794,52,18.0,20.0,20.0,19.0,0.42,0.0654911838790932,35.68,11990.0,61691.0,0.015,0.003,0.009000000000000001,0.006999999999999999,0.8440000000000001,0.006,0.102,0.008,0.006
217,Merced Union High,2639,228,19.0,21.0,19.0,20.0,0.36,0.08639636225843123,34.48,14146.0,51793.0,0.037000000000000005,0.005,0.078,0.008,0.706,0.003,0.146,0.009000000000000001,0.008
220,Delhi Unified,164,57,17.0,19.0,17.0,18.0,0.18,0.3475609756097561,27.32,13804.0,58800.0,0.001,0.002,0.025,0.001,0.9109999999999999,0.002,0.052000000000000005,0.004,0.003
221,Modoc Joint Unified,51,23,14.0,16.0,16.0,17.0,0.09,0.45098039215686275,60.77,11378.0,46169.0,0.011000000000000001,0.07200000000000001,0.006999999999999999,0.006999999999999999,0.184,0.005,0.6629999999999999,0.042,0.006999999999999999
227,Carmel Unified,221,107,27.0,27.0,25.0,25.0,0.89,0.4841628959276018,88.29,24026.0,93269.0,0.005,0.001,0.047,0.005,0.195,0.001,0.628,0.10099999999999999,0.017
